DEBUG:root: tick:     3, AC:     3999, AR:        4, DR:        0, PC:      0x8, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:     4, AC:  4000000, AR:        0, DR:  4000000, PC:      0x9, rax:  4000000, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:     5, AC:        1, AR:        2, DR:        1, PC:      0xa, rax:  4000000, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:     6, AC:  3999999, AR:  4000000, DR:        1, PC:      0xb, rax:  4000000, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:     7, AC:  3999999, AR:  4000000, DR:       15, PC:      0xe, rax:  4000000, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:     8, AC:        1, AR:        0, DR:        1, PC:      0xf, rax:        1, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    11, AC:     4000, AR:        4, DR:        0, PC:     0x10, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    12, AC:        1, AR:        1, DR:        0, PC:     0x11, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    13, AC:        1, AR:        1, DR:        0, PC:     0x12, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    16, AC:     3999, AR:        4, DR:        0, PC:     0x13, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    17, AC:        1, AR:        2, DR:        1, PC:     0x14, rax:        1, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    18, AC:        1, AR:        3, DR:        1, PC:     0x15, rax:        1, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    21, AC:     4000, AR:        4, DR:        0, PC:     0x16, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    24, AC:     3999, AR:        4, DR:        0, PC:     0x17, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    25, AC:        1, AR:        0, DR:        1, PC:     0x18, rax:        1, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    26, AC:        1, AR:        2, DR:        1, PC:     0x19, rax:        1, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    28, AC:        2, AR:        2, DR:        1, PC:     0x1a, rax:        2, rcx:        0, rdx:        2, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    31, AC:     4000, AR:        4, DR:        0, PC:     0x1b, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    32, AC:        2, AR:        2, DR:        2, PC:     0x1c, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    35, AC:     3999, AR:        4, DR:        0, PC:     0x1d, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    36, AC:        1, AR:        2, DR:        1, PC:     0x1e, rax:        2, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    37, AC:        1, AR:        1, DR:        1, PC:     0x1f, rax:        2, rcx:        0, rdx:        1, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    40, AC:     4000, AR:        4, DR:        0, PC:     0x20, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     4000, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    43, AC:     3999, AR:        4, DR:        0, PC:     0x21, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    44, AC:        0, AR:        0, DR:        0, PC:     0x22, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3999, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p : False, z:  True
DEBUG:root: tick:    47, AC:     3998, AR:        4, DR:        0, PC:     0x23, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3998, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    50, AC:     3997, AR:        4, DR:        0, PC:     0x24, rax:        0, rcx:        0, rdx:        0, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
DEBUG:root: tick:    51, AC:        2, AR:        0, DR:        2, PC:     0x25, rax:        2, rcx:        0, rdx:        0, rbx:        0, rsp:     3997, sbp:        0, rsi:        0, rdi:        0, rio:        0,  interrupt: IOState.Unlock, buffer:        0, p :  True, z: False
